weekday,month,year,business_day,wind_dir_degrees,precipitation_inches
0,6,2015,1,233.0,0.0
1,6,2015,1,257.0,0.0
2,6,2015,1,237.0,0.0
3,6,2015,1,226.0,0.0
4,6,2015,1,308.0,0.0
5,6,2015,0,314.0,0.0
6,6,2015,0,302.0,0.0
0,6,2015,1,302.0,0.0
1,6,2015,1,294.0,0.0
2,6,2015,1,302.0,0.18
3,6,2015,1,295.0,0.0
4,6,2015,1,306.0,0.0
5,6,2015,0,313.0,0.0
6,6,2015,0,280.0,0.0
0,6,2015,1,255.0,0.0
1,6,2015,1,254.0,0.0
2,6,2015,1,287.0,0.0
3,6,2015,1,286.0,0.0
4,6,2015,1,267.0,0.0
5,6,2015,0,303.0,0.0
6,6,2015,0,271.0,0.0
0,6,2015,1,268.0,0.0
1,6,2015,1,261.0,0.0
2,6,2015,1,272.0,0.0
3,6,2015,1,323.0,0.0
4,6,2015,1,316.0,0.0
5,6,2015,0,315.0,0.0
6,6,2015,0,291.0,0.0
0,6,2015,1,272.0,0.0
1,6,2015,1,293.0,0.0
2,7,2015,1,309.0,0.0
3,7,2015,1,313.0,0.0
4,7,2015,0,302.0,0.0
5,7,2015,0,297.0,0.0
6,7,2015,0,288.0,0.0
0,7,2015,1,267.0,0.0
1,7,2015,1,267.0,0.0
2,7,2015,1,265.0,0.0
3,7,2015,1,263.0,0.01
4,7,2015,1,267.0,0.0
5,7,2015,0,270.0,0.0
6,7,2015,0,263.0,0.0
0,7,2015,1,259.0,0.0
1,7,2015,1,250.0,0.0
2,7,2015,1,233.0,0.0
3,7,2015,1,309.0,0.0
4,7,2015,1,303.0,0.0
5,7,2015,0,291.0,0.0
6,7,2015,0,280.0,0.0
0,7,2015,1,271.0,0.0
1,7,2015,1,268.0,0.0
2,7,2015,1,252.0,0.0
3,7,2015,1,250.0,0.0
4,7,2015,1,266.0,0.0
5,7,2015,0,267.0,0.0
6,7,2015,0,253.0,0.0
0,7,2015,1,287.0,0.0
1,7,2015,1,291.0,0.0
2,7,2015,1,316.0,0.0
3,7,2015,1,301.0,0.0
4,7,2015,1,281.0,0.0
5,8,2015,0,276.0,0.0
6,8,2015,0,265.0,0.0
0,8,2015,1,267.0,0.0
1,8,2015,1,269.0,0.0
2,8,2015,1,278.0,0.0
3,8,2015,1,309.0,0.0
4,8,2015,1,271.0,0.0
5,8,2015,0,261.0,0.0
6,8,2015,0,251.0,0.0
0,8,2015,1,262.0,0.0
1,8,2015,1,258.0,0.0
2,8,2015,1,285.0,0.0
3,8,2015,1,278.0,0.0
4,8,2015,1,264.0,0.0
5,8,2015,0,306.0,0.0
6,8,2015,0,297.0,0.0
0,8,2015,1,308.0,0.0
1,8,2015,1,310.0,0.0
2,8,2015,1,273.0,0.0
3,8,2015,1,270.0,0.0
4,8,2015,1,262.0,0.0
5,8,2015,0,257.0,0.0
6,8,2015,0,277.0,0.0
0,8,2015,1,281.0,0.0
1,8,2015,1,290.0,0.0
2,8,2015,1,296.0,0.0
3,8,2015,1,272.0,0.0
4,8,2015,1,291.0,0.0
5,8,2015,0,260.0,0.0
6,8,2015,0,276.0,0.0
0,8,2015,1,246.0,0.0
